@relation dataset
@attribute Attr1 real
@attribute Attr2 real
@attribute Attr3 real
@attribute Cluster real
@data
-57.22503166542857,55.68998633638832,-60.23462279313147,2.0
67.27539088449464,-118.41396128682726,1.7417747890852375,0.0
-91.07179896104842,65.74265610892836,-49.536093156077136,2.0
-69.39742928813365,13.073901743893394,84.39114121598911,3.0
-71.85731296009307,57.31494034794783,-80.26181295889099,2.0
45.856199686634966,1.6385660175664398,-35.719828894982754,1.0
61.94178731497383,10.437872638274108,-51.04858355258353,1.0
-91.14282509485109,6.000365607845385,48.26812228701785,4.0
49.05022449200179,-20.331576554567455,-70.63005573585502,1.0
41.50656601238788,8.068334719396104,-59.57222668240183,1.0
-91.61031370080076,1.7267216189053545,81.20407594510289,4.0
-72.74662283720191,49.52013793943568,97.53047593093581,3.0
-66.69350137511691,30.567697114162392,100.56055934205614,3.0
-87.34598674837362,35.80674003075042,96.41787093907256,3.0
63.83461030688534,-90.93276736891778,12.986059147053854,0.0
48.657193470795825,-14.038159328895395,-58.06783690486326,1.0
-62.97279786250633,62.861185110435855,-56.830906619287965,2.0
-71.72952095769621,28.5507592371836,96.99098734909812,3.0
-79.8660653419148,25.345822666103068,82.65852457120181,3.0
-15.412153347937384,65.71304899097507,-49.40519484164146,2.0
-59.1323533510908,51.44234119043679,-78.8900281205764,2.0
-84.96704558710988,33.13194954698502,101.57325610190692,3.0
-47.207630715613114,60.73271554146345,-79.76964222813788,2.0
-105.88346644690546,15.886694220203553,64.84937479086346,4.0
-60.870819402507614,66.16701670436541,-80.89490842708899,2.0
-93.62432286566356,43.41434120441979,66.57587147075488,3.0
-70.00430962906822,44.06264093866477,-63.17958984890107,2.0
-71.01229742086822,64.29288481629825,-46.06530633904763,2.0
72.83909299471244,10.903844434473369,-59.70852080531385,1.0
-41.75275207257816,66.25192650099055,-81.35425981799501,2.0
44.43044751954519,-102.72278410671714,28.821607706180778,0.0
-32.83339825331994,53.865285554427324,-73.91887678849172,2.0
50.079799372043375,15.459712414874875,-71.2503952506085,1.0
46.648802083589224,-7.334843952254468,-79.22051352401681,1.0
-56.75989213978544,50.85466643632773,-60.50671882447452,2.0
65.93343806819655,18.0520734611077,-36.564266501889,1.0
-92.07955351974914,49.26947847127916,96.16914030471756,3.0
54.65306478075496,-84.18557752622631,23.237390387617246,0.0
-88.79413884928431,46.38019077906036,-91.47844075134202,2.0
62.07214447071659,-101.13161927955149,33.3711420451527,0.0
-97.66505283431793,37.083874980773906,83.43836787518418,3.0
-71.37684218547868,36.566304909761236,81.91645090791357,3.0
-47.73668089947584,35.65305284648886,-62.64697720758599,2.0
44.329347966783246,14.27935953035094,-49.18985104249353,1.0
37.095870602525,-7.557385431964161,-74.47812984085962,1.0
62.00812035106024,-103.98050876699972,33.58879748018052,0.0
-90.39903040418591,-7.910372996476916,66.12960779639835,4.0
-90.95142486450055,13.237728739134845,102.44154910885817,3.0
-31.949312436129052,76.06707529623904,-42.400879204909344,2.0
53.92493477158886,6.953215633494238,-52.448752136345796,1.0
49.82824215299274,-95.82489652740483,22.37605521545278,0.0
-68.74196420253442,67.66084586194545,-52.30872180103263,2.0
68.96160399917795,-83.15859189640224,19.183994298310427,0.0
-69.6409029562007,35.71059241997748,84.36243306685316,3.0
41.570615996721514,-14.136948208208079,-53.293597167693,1.0
58.41209459973176,-106.35373746520796,13.742400610830284,0.0
64.7533048975695,-100.48663756954178,36.41004849032804,0.0
47.90547531890938,-88.09841811064109,24.00909800963323,0.0
-75.81642866170236,42.05730974930515,72.4221205616216,3.0
44.72531356204443,-0.7710852208258131,-39.67317429198541,1.0
-80.60354849485105,39.76387556254719,114.13302202928566,3.0
-80.14286269186226,-5.142639263172228,79.90303268288024,4.0
-76.66150548433302,-26.81491376362531,58.60355096675236,4.0
-83.40738796480568,37.44133975409632,80.00284296620252,3.0
-114.18368695506253,-24.039083425157855,60.093983837184524,4.0
44.74067397398697,-77.42249018884897,35.68952684998305,0.0
-95.74072063276098,10.934822740693477,55.05115791892021,4.0
-46.81967911234248,80.79484562935922,-79.13134881416605,2.0
-85.29594176324893,21.259618224149044,88.86143205608431,3.0
58.89449710690693,-101.90540891791781,33.31940672574724,0.0
61.35052691322631,-9.318561157656257,-64.62670613212157,1.0
-96.1234808928778,25.514442446588045,82.30768016841002,3.0
-108.70101169649408,7.696639699247026,48.3916508263072,4.0
-112.7126702997289,-1.2818302394326153,52.918775933559886,4.0
52.45252217912871,-7.880903620554714,-47.4303147979434,1.0
-49.18126946012917,44.21707076493047,-52.43253211344391,2.0
-76.55247737769912,59.355681921907376,-64.29910370826357,2.0
-71.7765573841882,50.3684432425262,-57.14457740483835,2.0
72.59221072236593,-96.80249626335339,24.663223213999295,0.0
-69.39998380666273,39.4452920406755,-49.87341100849099,2.0
-75.32113558164349,16.40052504245148,70.59447289475057,4.0
39.72670689236499,-100.53473591875807,2.3338598569074485,0.0
-47.917200181309695,56.212050160336176,-65.39038753207295,2.0
-105.6141528782085,4.847274828089174,65.63992799408442,4.0
38.66059727698605,3.0296761705640023,-52.3801528621283,1.0
-71.25489571185645,56.13200156729958,76.82491143360876,3.0
-106.11692117968859,-20.715816913279603,67.03463677466985,4.0
