@relation dataset
@attribute Attr1 real
@attribute Attr2 real
@attribute Attr3 real
@attribute Attr4 real
@attribute Attr5 real
@attribute Attr6 real
@attribute Attr7 real
@attribute Attr8 real
@attribute Attr9 real
@attribute Attr10 real
@attribute Attr11 real
@attribute Attr12 real
@attribute Attr13 real
@attribute Cluster real
@data
-90.86951084092219,662.3533888903374,473.1281922218053,302.76413503770385,-797.5733706805736,371.62347102239823,802.1202649096408,36.64867230478417,-790.3613435929603,156.84998643413246,589.4067902836593,-546.7813031291572,-381.2803834160415,1.0
319.45053753315665,-1194.5910102361906,219.3933994898626,657.9905030577639,172.97265624261004,-500.55349312689503,-180.3763994438462,400.8564212166099,-833.7797772151639,-1027.1284013517939,229.55088782363424,867.8928195572381,-631.4175219618916,0.0
-257.65058840243734,-873.3712732375185,-385.45405549010775,-448.4001699598755,1031.8565979619607,-670.5735840881354,-197.57808569271862,-583.7172487938255,247.3185663249769,-753.3691299618981,-649.5039549624444,975.2358403913815,511.3017538309761,5.0
63.659479252282125,-202.74046457952028,846.996603023445,-452.6975345532118,695.5965932972194,-386.19646734684216,696.1407869786875,-600.2602628320166,294.2167296226781,-693.7376712667024,-582.3986166972123,-153.2678801561499,-720.4653776475957,3.0
-26.91099990415063,337.01711586967275,417.6286290085236,464.67556486452054,-276.3924962462661,822.3925765372757,408.4794035943758,54.807625591683845,-937.3597662838336,-497.65607715315974,179.77472322924385,-33.34667570056803,-294.703887511722,1.0
275.5415339640308,-937.0061690858372,198.22061311321463,230.81864821850348,295.2766063492253,-439.25476003185054,-461.7585018547645,108.24332438515358,-704.7060434968053,-545.5094094384427,526.2312427942443,1012.9926925630126,-1405.4788178388412,0.0
732.9358984191,718.1716784537923,457.8380744105202,-5.160196206610763,-52.53592007240812,-666.9100646128186,-520.2950658728296,-552.7436009661727,-736.6419911629345,-329.70650721536833,-20.155349425071478,-64.85851894979257,211.2000296011184,6.0
356.9438759910312,-808.6922184878892,-247.01001689187413,1158.187772530482,689.5849835075579,90.30883741981407,525.8242900335011,-414.26827485551405,436.57252257483617,308.3801402696106,66.67883041647886,-52.19785821840881,-390.6772431257467,4.0
637.2366784510367,-607.4888752646948,-115.40418447332942,1022.369051701462,851.7172081524488,-137.2660397182683,1002.4194899124808,-756.362530054907,448.4809124747044,818.5486934297734,16.501171959664845,-215.42805299254536,-675.2465498035849,4.0
281.5446523278446,712.0624393401984,347.9314668194921,358.3638560987685,-572.4893393728951,729.9061822344158,133.44097953132365,-66.32455404450232,-611.0656695075862,-484.6154725831168,388.19786098149217,-215.83403036135965,-55.33037822538695,1.0
746.5358289854483,-1122.365417365348,388.68720273929733,230.5701186671143,-224.8405806359307,-334.8432919820583,-507.2590746918535,515.28952171849,-835.283696252576,-646.6309351117017,202.8915183040661,819.4069587346502,-1136.766897070556,0.0
262.7065434647257,95.8685660504652,14.221787604069334,-0.8718145931008507,565.1448212709835,-269.8263108628977,1331.876482390397,-421.39066165268804,-663.5506049977237,-388.73132198598574,-543.5034651979659,727.7204642798292,-1143.6865096706956,2.0
302.35736206921626,-742.055895894874,25.966033519835605,598.7878859469388,1383.9302504800003,-96.7665755697832,781.792845375828,-617.1189345301358,182.73092537466513,741.0490939294448,4.913685083501548,107.87765396931867,-1174.5563401514682,4.0
589.4446222468738,-1417.3934483450917,309.1082553825676,680.4187061420739,-281.9265471482385,-467.4023401604109,-847.4358410760725,745.9074269364709,-726.5941117644239,-1095.027005214586,410.5612054883137,819.4458064901826,-1548.7649401687208,0.0
116.25990552126208,10.423210276309163,670.437363574803,-543.8292541432305,450.30924187430537,-88.94417218302738,423.5835719247878,-187.397354098979,823.3907771111897,-529.2186982892666,-888.1466357237371,244.7087644966429,-797.0120482984642,3.0
-216.92962476069312,364.2095981753142,-159.4023981331431,474.503050118138,-959.4949268502407,908.443911300594,526.1614003956794,-39.94315395584616,-1035.0173731737443,-400.9991907508036,263.7649211881532,268.1665644913847,-175.69294904285607,1.0
866.2415585628308,-166.6242879768398,119.6155016545679,257.1132178798572,220.24731118283697,-471.02045975672235,-188.11138053318285,-986.1975205788756,-270.8455307848663,-528.0201412569985,53.43684118528661,270.58261498768263,-158.3692621560201,6.0
580.9862063221979,-1253.018935286809,755.042248376782,329.30643871936695,103.04431793470945,-584.7672673963191,-567.4951335919288,383.57646654090456,-720.3655907126076,-522.3250083170249,677.26073096028,987.6874735716266,-1373.842154272565,0.0
-177.20250597496891,-894.0702128226633,-25.955448671841168,-136.32346501585633,880.9975913951539,-861.4719612380226,50.350631742173874,-313.4551990035587,223.2193660583936,-174.56933158458023,-982.2403119010933,754.1279908399079,843.3320326828061,5.0
639.1820602926397,-731.713901206855,-247.11142752233272,1144.7028032264734,549.8184726881562,-177.3055296014471,122.85951191781237,-531.8339978788536,536.9465451322945,834.4855788667668,92.41353916068232,511.0926811875001,-1044.718511284429,4.0
-105.18044520165637,118.06361889800833,-9.057387002251573,110.6209351096642,127.61154310763527,-345.30885517437804,1065.974908175932,-310.4078852750131,-1042.9136296562303,30.886549660983974,-719.3823457611967,1253.5386621711982,-695.2377569220965,2.0
256.32732979365886,-294.2747081522151,215.3472001503988,-445.1621088285383,401.964889353512,-341.50085946382626,839.2957752422537,-570.4624380154744,1105.5875311411346,-558.7520388177456,-852.8971992240135,-474.5163012055558,-690.2048721174348,3.0
202.32707390438594,-764.4877935321019,461.6804359211019,583.8201655581256,310.31929530818894,-915.1327274946216,-749.185808469364,314.8345308891995,-770.0074881512869,-1329.485227742795,360.9417589439057,897.4485255890722,-1217.9101531309816,0.0
241.3023417755555,114.40799880209563,896.2747224848817,-680.5158110491366,853.5819455522211,45.52534083930988,713.7802287107727,-19.408867335587104,561.8211927332777,-57.60587883265862,-918.3935897071929,-850.181094000021,-770.2568111147955,3.0
716.853195369681,-728.1481192440824,193.70129127224146,885.6479959546002,1220.813932959253,339.20784643144617,820.5784500774242,-468.946130783587,-108.85868411706434,777.751422561626,336.1667547850565,109.13914926801625,-773.0197937657778,4.0
